sentences,puzzle_word,level
She evaluates the performance of her employees.,evaluates,B
She catches a butterfly in her hand.,catches,C
She watches the sunset with awe.,watches,B
The pilot guides the plane through turbulent skies.,guides,B
The conductor orchestrates a symphony performance.,orchestrates,S
The scientist will scrutinize the research findings.,scrutinize,A
She winks playfully at her friend.,winks,C
They sauté the vegetables in a hot pan.,sauté,A
The hiker will wade across the shallow river.,wade,A
She orchestrates a grand musical performance.,orchestrates,S
She interpreted ancient manuscripts to unlock historical mysteries.,interpreted,S
I jump in excitement when I'm happy.,jump,B
He conducts experiments in the laboratory.,conducts,A
The parrot can mimic human speech.,parrot,C
He hikes through the forest on weekends.,hikes,B
The food sizzles on the grill.,sizzles,B
She coordinated disaster relief efforts.,coordinated,S
They construct elaborate mathematical proofs.,construct,S
The chef cooks a tasty meal.,cooks,C
The chef prepares a gourmet meal for the guests.,prepares,A
The architect designs sustainable buildings.,designs,S
The coach motivates the team to victory.,motivates,B
They surveil the area with hidden cameras.,surveil,S
She directs a play at the local theater.,directs,B
The scientist will meticulously analyze the complex data.,analyze,S
They design innovative solutions for their clients.,design,B
She loves to twirl around in her dress.,twirl,B
The coach motivates the team to victory.,motivates,B
He marches proudly in the parade.,marches,C
She bakes a batch of chocolate chip cookies.,bakes,C
The submarine will submerge into the deep ocean waters.,submerge,S
She calculates the trajectory of the spacecraft.,calculates,S
He skims through the newspaper quickly.,skims,B
They negotiate a business deal with a client.,negotiate,A
The tugboat will tow the larger ship.,tow,A
The innovative engineer pioneered autonomous humanoid robots.,pioneered,S
She sculpts a masterpiece from clay.,sculpts,B
He corroborates his research findings with additional data.,corroborates,S
They chop vegetables for a salad.,chop,C
He dances with elegance at the ball.,dances,C
He constructs a model of the solar system.,constructs,A
The pig rolls in the mud.,pig,C
He heeds advice from his parents.,heeds,B
The photographer will oversee the entire photoshoot.,oversee,S
The bear hibernates during the winter.,bear,C
She directs a play at the local theater.,directs,B
The zebra has black and white stripes.,zebra,C
They synthesize organic compounds in the lab.,synthesize,A
They embrace each other warmly.,embrace,B
He engineers a cutting-edge technology.,engineers,A
He hauls the heavy load with determination.,hauls,S
The teacher teaches the students.,teaches,B
They compose music for a new film soundtrack.,compose,B
She examines the patient's medical history.,examines,A
We watch movies on Friday nights.,watch,B
They bark loudly when the doorbell rings.,bark,C
They wave to their friends across the street.,wave,C
The artist sculpts sculptures from rare materials.,sculpts,A
She administers medication to her patients.,administers,B
He fixes a broken bicycle.,fixes,C
She plans to monitor the progress of the project closely.,monitor,A
The couple gazes at the stars at night.,gazes,B
The conductor guides the orchestra with precision.,guides,B
The kitten pounces on a toy mouse.,kitten,C
They navigate through a dense forest.,navigate,A
They hike through the forest on weekends.,hike,B
He computes complex mathematical equations.,computes,B
The goat climbs the rocky hill.,goat,C
She sears the steak to perfection.,sears,A
He conducts experiments in the laboratory.,conducts,B
She photographs beautiful landscapes.,photographs,B
She scrutinizes the painting in detail.,scrutinizes,A
He engineered a groundbreaking AI algorithm.,engineered,S
They marvel at the stunning sunset.,marvel,B
They compose music for a new film soundtrack.,compose,A
He constructs mathematical models to solve problems.,constructs,S
The chemist needs to seethe the solution at a specific temperature.,seethe,S
They run races at the school sports day.,run,C
They jog together in the morning.,jog,B
They navigate through a dense forest.,navigate,B
He constructs innovative green energy solutions.,constructs,A
They design innovative solutions for their clients.,design,A
She supervises a multinational corporation.,supervises,A
He calculates complex equations for his research.,calculates,A
They swim in the pool on hot summer days.,swim,C
The peacock displays its colorful feathers.,peacock,C
The hiker will wade across the shallow river.,wade,A
The detective will intercept the secret message.,intercept,S
They administered a massive nationwide vaccination initiative.,administered,S
The cow grazes in the pasture.,cow,C
The lobster has claws for defense.,lobster,C
The skilled surgeon performed a life-saving procedure.,performed,S
She sculpts intricate figurines from clay.,sculpts,S
He can jump over the small fence.,jump,C
They analyze financial data for investment decisions.,analyze,A
They assemble a team to complete the project.,assemble,A
They assemble a team to complete the project.,assemble,B
She organizes a charity fundraiser.,organizes,B
She patents groundbreaking inventions.,patents,A
They compose music for a new film soundtrack.,compose,B
The detective eavesdrops on a suspicious conversation.,eavesdrops,A
He rides his bike to work.,rides,B
The gorilla is a strong and intelligent ape.,gorilla,C
The explorer decided to meander through the dense jungle.,meander,S
We study together for exams.,study,B
She hops on one foot during the game.,hops,C
She gazes at the stars in wonder.,gazes,A
He plants flowers in the garden.,plants,B
The penguin waddles on ice.,penguin,C
He snaps a photo of the beautiful sunset.,snaps,C
She cares for injured animals.,cares,B
They synthesized a novel pharmaceutical compound.,synthesized,S
She immerses herself in a good book.,immerses,A
She pirouettes gracefully on the stage.,pirouettes,A
He unlatches the gate to the garden.,unlatches,B
The scientist will analyze the DNA samples for genetic markers.,analyze,S
They synthesize organic compounds in the lab.,synthesize,A
He gives her a warm hug.,hug.,B
She cavorts with the dolphins in the crystal-clear water.,cavorts,S
The architect drafts plans for a new building.,drafts,A
She strategizes marketing campaigns.,strategizes,A
They fabricated exquisite jewelry pieces.,fabricated,S
She pirouettes gracefully in her ballet performance.,pirouettes,S
She paints a beautiful landscape with vibrant colors.,paints,C
He conducts experiments in the laboratory.,conducts,A
I scrub the dishes after dinner.,scrub,B
The lawyer litigates a high-profile case.,litigates,A
I chat with my friend on the phone.,chat,B
He repairs broken appliances at home.,repairs,B
She grins from ear to ear.,grins,B
She negotiates a complex business deal.,negotiates,A
We often loiter around the mall on weekends.,loiter,A
He strokes the cat's fur gently.,strokes,A
They analyze market trends for investment.,analyze,A
She slides down the snowy hill on a sled.,slides,C
The scientist will analyze the chemical composition of the substance.,analyze,S
She evaluates the performance of her employees.,evaluates,A
They clap their hands in applause.,clap,B
The pilot navigates the plane through turbulent skies.,navigates,A
The couple osculates passionately in the moonlight.,osculates,S
The bird sings a sweet melody.,sings,C
The dancers cavort gracefully on the grand stage.,cavort,S
The athlete jumps over the high bar with grace.,jumps,C
The sun shines through the clouds.,shines,C
She evaluates the performance of her employees.,evaluates,A
He orchestrated a peace summit between nations.,orchestrated,S
The baby laughs at funny faces.,laughs,C
He optimizes supply chain logistics.,optimizes,A
The scientist observes the behavior of ants.,observes,C
They assemble a team to complete the project.,assemble,A
The chemist needs to seethe the solution at a specific temperature.,seethe,S
He marvels at the wonders of nature.,marvels,B
She programs software to solve real-world problems.,programs,A
He conducts a psychological study.,conducts,A
The seasoned CEO oversaw global operations.,oversaw,S
She darts through the crowded city streets.,darts,A
The horse galloped across the field.,horse,C
The artist impels the audience to ponder the meaning of his painting.,impels,S
The turtle has a hard shell.,turtle,C
The mechanic fixes the car's engine.,fixes,C
We exercise at the gym regularly.,exercise,B
She sculpts a masterpiece from clay.,sculpts,B
"He ambles through the park, enjoying the scenery.",ambles,A
The dancers cavort gracefully on the grand stage.,cavort,S
They propel the boat forward with oars.,propel,A
She whispers a secret to her friend.,whispers,C
The car honks loudly in traffic.,honks,C
She will transcribe the interview recording.,transcribe,A
The journalist aims to document the historical event.,document,S
She devised marketing campaigns for global brands.,devised,S
They travel to new destinations every year.,travel,B
The detective interrogates the key witnesses.,interrogates,S
She evaluates the performance of her employees.,evaluates,B
The coach motivates the team to victory.,motivates,A
They draw colorful pictures on the sidewalk.,draw,C
She administers medication to her patients.,administers,A
They analyze financial data for investment decisions.,analyze,A
He reads the newspaper every morning.,reads,B
They conceptualize innovative ideas for their startup.,conceptualize,S
He caresses the strings of his guitar.,caresses,A
She sculptures clay into intricate figurines.,sculptures,S
The crocodile lurks in the water.,crocodile,C
The baby giggles when tickled.,giggles,C
He coordinates the logistics of the event.,coordinates,A
He organizes a charity fundraiser.,organizes,A
They analyze financial data for investment decisions.,analyze,B
They savor the taste of fine wine.,savor,B
"She reclines on the beach, soaking up the sun.",reclines,A
"During the earthquake, the building began to tumble down.",tumble,S
They float on inflatable rafts in the pool.,float,C
They fabricate intricate jewelry.,fabricate,A
She dissects intricate legal arguments in the courtroom.,dissects,S
The architect designs sustainable buildings.,designs,A
He repairs broken appliances at home.,repairs,A
He repairs broken appliances at home.,repairs,A
They synthesize chemical compounds for research.,synthesize,S
The baker mixes the batter for cupcakes.,mixes,C
"The children frolic in the park, laughing and playing.",frolic,A
She darts through the crowded city streets.,darts,A
The engineer develops advanced robotics.,develops,A
He composes poetry in his free time.,composes,B
They negotiate international peace agreements.,negotiate,A
The sun shines brightly in the sky.,shines,C
"During the storm, the ship began to surge on the turbulent seas.",surge,S
She reads a bedtime story to her child.,reads,C
The artist sketches a beautiful landscape.,sketches,C
They cycle through the countryside.,cycle,B
They research the history of ancient civilizations.,research,A
He initiates humanitarian missions.,initiates,A
She strategizes marketing campaigns.,strategizes,A
He builds a sandcastle on the beach.,builds,C
He wanders through the ancient ruins.,wanders,A
They navigate through a dense forest.,navigate,B
She navigates the ship through stormy waters.,navigates,B
They assemble a team to complete the project.,assemble,B
The gardener plants flowers in the park.,plants,B
She coordinates the logistics of the event.,coordinates,A
They blow out the birthday candles.,blow,C
I chat with my friend at the cafe.,chat,B
I gobble down my breakfast.,gobble,B
She directs a play at the local theater.,directs,A
She administers medication to her patients.,administers,B
She writes in her journal every night.,writes,B
She directs a play at the local theater.,directs,A
He tiptoes quietly up the stairs.,tiptoes,B
They surveil the area with hidden cameras.,surveil,S
She negotiated a multimillion-dollar merger successfully.,negotiated,S
She sometimes weeps during sad movies.,weeps,B
The playwright crafts compelling dialogues for the play.,crafts,S
The engineer develops advanced robotics.,develops,A
He dives into the pool with a splash.,dives,C
He programs software to solve real-world problems.,programs,A
"During the hurricane, the ship began to surge in the tumultuous sea.",surge,S
He likes to converse with people from different cultures.,converse,A
I wave to my neighbor every morning.,wave,B
The tugboat will haul the cargo ship into the harbor.,haul,S
The detective eavesdrops on a suspicious conversation.,eavesdrops,A
The butterfly flits from flower to flower.,butterfly,C
The artist paints a beautiful landscape.,paints,B
He drives his car to work every day.,drives,C
She theorizes about the behavior of subatomic particles.,theorizes,S
"After work, he likes to lounge on the sofa and watch TV.",lounge,A
The kids doodle on their sketchbooks.,doodle,B
The scientists propose a revolutionary hypothesis.,propose,S
He organizes a charity fundraiser.,organizes,A
The CEO oversees global operations.,oversees,A
She hides behind the curtains.,hides,C
They consume a delicious meal at the restaurant.,consume,A
He overhears an interesting conversation.,overhears,A
She implemented an advanced healthcare infrastructure overhaul.,implemented,S
He initiates humanitarian missions.,initiates,A
They cycle through the countryside.,cycle,B
She implements new policies in the company.,implements,A
He pioneers breakthroughs in scientific research.,pioneers,A
She holds a bouquet of flowers.,holds,C
She grows vegetables in her backyard.,grows,B
He sculpts intricate sculptures from marble.,sculpts,S
"During the storm, the ship began to tumble in the rough seas.",tumble,A
He plays the guitar at parties.,plays,B
The acrobat executed a perfect somersault in mid-air.,somersault,S
She examines the patient's medical history.,examines,B
She administers medication to her patients.,administers,A
She devises a new strategy for the company.,devises,S
She cleanses her face with a gentle scrub.,cleanses,A
I swim in the pool on hot summer days.,swim,B
The detective interrogates the suspect.,interrogates,B
They discourse on various topics during dinner.,discourse,A
She chuckles at the amusing story.,chuckles,A
She cooks a delicious meal for her family.,cooks,B
She sometimes laments the loss of her loved ones.,laments,S
He unfastens the lock to explore the mysterious room.,unfastens,S
She coordinates disaster relief efforts.,coordinates,A
They consume a delicious meal at the restaurant.,consume,A
He constructs innovative green energy solutions.,constructs,A
They analyzed complex financial derivatives and market trends for high-stakes investments.,analyzed,S
They explore uncharted territories in search of scientific discovery.,explore,S
He scrutinizes the intricate details of the ancient manuscript.,scrutinizes,S
They watch movies on Friday nights.,watch,C
He listens to music with headphones.,listens,B
The waiter serves delicious meals to the customers.,serves,C
They doze off during the long train ride.,doze,A
The spider spins a delicate web.,spider,C
The group bursts into spontaneous guffaws at the comedy show.,guffaws,S
We often chuckle at funny jokes.,chuckle,B
She scrutinizes every aspect of the business plan.,scrutinizes,S
He synchronizes the choreography with the music.,synchronizes,S
The journalist aims to document the historical event.,document,S
The cat pounces on a toy mouse.,pounces,C
I jump in excitement when I'm happy.,jump,B
She directs a blockbuster movie production.,directs,A
The scientist will analyze the intricate chemical reactions.,analyze,S
He theorizes about the nature of the universe.,theorizes,S
I admire the beautiful artwork.,admire,B
The detective analyzes the clues at the crime scene.,analyzes,A
She trains diligently for the upcoming marathon.,trains,A
The couple osculates passionately in the moonlight.,osculates,S
They enjoy a picnic in the park.,enjoy,B
The cat sleeps all day in the sun.,cat,C
The director assembles an ensemble cast for the film.,assembles,S
She plans to scrutinize the financial reports closely.,scrutinize,S
They watch a funny cartoon on TV.,watch,C
The chef prepares a gourmet meal for the guests.,prepares,A
They analyze market trends for investment.,analyze,A
The raccoon rummages through the trash.,raccoon,C
The octopus has tentacles.,octopus,C
He slurps the noodles noisily.,slurps,B
They plant tulip bulbs in the garden.,plant,C
The fox has a bushy tail.,fox,C
They fabricate intricate jewelry designs.,fabricate,S
They sing along to their favorite songs.,sing,B
He orchestrates a diplomatic summit.,orchestrates,A
He inspects the machinery for any issues.,inspects,A
He navigates through a dense forest.,navigates,B
She implements new policies in the company.,implements,A
She impels her team to achieve their goals.,impels,A
They navigate through complex legal regulations.,navigate,A
They skip rope in the playground.,skip,C
The owl hunts for prey at night.,owl,C
The CEO oversees global operations.,oversees,A
She wraps a gift with colorful paper.,wraps,C
The visionary architect conceptualized eco-friendly skyscrapers.,conceptualized,S
He vaults over the high bar with finesse.,vaults,A
He whistles a catchy tune.,whistles,C
The rabbit hops around the garden.,rabbit,C
She swings back and forth in the park.,swings,C
The flamingo stands on one leg.,flamingo,C
She implements a comprehensive healthcare system.,implements,A
The secretary will record the meeting minutes.,record,A
We giggle at silly jokes.,giggle,B
He scribbles notes in his notebook.,scribbles,B
He barks loudly at passing cars.,barks,C
The pilot navigates the plane through turbulent skies.,navigates,B
He constructs a model of the solar system.,constructs,B
He coaches a kids' soccer team.,coaches,B
He optimizes supply chain logistics.,optimizes,A
The architect designs sustainable buildings.,designs,A
They conducted groundbreaking research in regenerative medicine.,conducted,S
She paints colorful pictures.,paints,B
The cold breeze makes her shiver.,shiver.,B
Let's take a stroll in the park.,stroll,B
The diver will immerse into the deep abyss of the ocean.,immerse,S
The pilot navigates the plane through turbulent skies.,navigates,A
She interprets ancient manuscripts.,interprets,A
He dives into the deep end of the pool.,dives,C
The mourners lament the passing of a great leader.,lament,S
They linger in the park after sunset.,linger,A
She always eats breakfast before going to school.,eats,C
"During the hurricane, the ship began to surge in the tumultuous sea.",surge,S
She oversees the entire project with great precision.,oversees,S
He listens to soothing music to relax.,listens,C
They whimper when they're tired.,whimper,B
The bee buzzes around the garden.,bee,C
She patents groundbreaking inventions.,patents,A
She examines the patient's medical history.,examines,A
They administer a large-scale vaccination program.,administer,A
He unlatches the gate to the garden.,unlatches,A
The baby cries for attention.,cries,C
They assemble a team to complete the project.,assemble,B
He cackles with delight at the humorous story.,cackles,S
The dancers twirl gracefully on the stage.,twirl,A
She paints colorful pictures.,paints,B
The snake slithers through the grass.,snake,C
She programs software to solve real-world problems.,programs,B
He corroborates his findings with extensive research.,corroborates,S
I will oversee the project's progress.,oversee,A
The teacher teaches the students.,teaches,B
The kids frolic in the backyard.,frolic,B
The accomplished scientist discovered unknown species.,discovered,S
She coordinates disaster relief efforts.,coordinates,A
She supervised multinational corporate conglomerates.,supervised,S
She interprets ancient manuscripts.,interprets,A
They run marathons for charity.,run,B
She purifies the water to make it safe to drink.,purifies,S
The chef aims to decontaminate the kitchen before cooking.,decontaminate,S
He admires the beautiful artwork.,admires,B
The engineer develops advanced robotics.,develops,A
They research cutting-edge medical treatments.,research,A
The bees buzz around the hive.,bees,C
They analyze market trends for investment.,analyze,A
The research team will scrutinize the findings meticulously.,scrutinize,S
They bake cookies for the holidays.,bake,B
The deer gracefully leaps through the forest.,deer,C
He coordinates the logistics of the event.,coordinates,B
The artist sculpts sculptures from rare materials.,sculpts,A
She combs her hair in front of the mirror.,combs,C
They celebrate birthdays with cake.,celebrate,B
I dream of traveling the world.,dream,B
They weep during sad movies.,weep,A
She sculpts a masterpiece from clay.,sculpts,A
The surgeon performs a delicate procedure.,performs,A
"After work, he likes to lounge on the sofa and watch TV.",lounge,A
She implements new policies in the company.,implements,B
They climb the steep mountain.,climb,C
The dog fetches a stick in the yard.,fetches,C
The scientist will analyze the data collected.,analyze,A
She writes in her journal every night.,writes,C
They navigate through complex legal regulations.,navigate,A
They analyze financial data for investment decisions.,analyze,B
The baker mixes the ingredients for the cake.,mixes,B
They negotiate international peace agreements.,negotiate,A
He bounces a basketball on the court.,bounces,C
The writer crafts compelling narratives for novels.,crafts,S
The sheep provides wool for clothing.,sheep,C
She plants flowers in her garden every spring.,plants,C
They climb a tree in the forest.,climb,C
He listens to music with headphones.,listens,B
He composes poetry in his free time.,composes,A
They jump in puddles after the rain.,jump,C
"A masterful painter, creating a canvas that captures the essence of the human experience.",masterful,S
A deer with antlers.,deer,B
A television remote.,television,C
